CFPLCode,ProductName,CarbonFootprint,CompanyName
1407323003,味美不鏽鋼牆角架(大)9020S,"3.4kg CO2e/ 每件0.7kg味美不鏽鋼牆角架(大)",朝盟股份有限公司
1407323002,味美不鏽鋼掛式砧板刀架6554S,"5kg CO2e/ 每件1.11kg味美不鏽鋼掛式砧板刀架",朝盟股份有限公司
1407323001,味美不鏽鋼廚用雙層置物架3230S,"10kg CO2e/ 每件3.47kg味美不鏽鋼廚用雙層置物架",朝盟股份有限公司
1508523003,玉山ETC悠遊聯名卡,"1.1kg CO2e/ 一張信用卡",玉山商業銀行股份有限公司
1508523002,玉山ETC悠遊聯名卡,"1.1kg CO2e/ 一張信用卡",玉山商業銀行股份有限公司
1508523001,玉山世界卡,"1.1kg CO2e/ 一張信用卡",玉山商業銀行股份有限公司
1502103001,XO巧之饌醬油,"1.4kg CO2e/ 每瓶590毫升",味王股份有限公司
1501515001,"福壽芝麻油(217 ml)","500g CO2e/ 每瓶福壽芝麻油(217毫升)",福壽實業股份有限公司
1501515002,"福壽芝麻油(543 ml)","850g CO2e/ 每瓶福壽芝麻油(543毫升)",福壽實業股份有限公司
1504902001,天下雜誌,"1.4kg CO2e/ 「每本天下雜誌 (21cm×28cm)(雙週刊)」，平均頁數為227頁，約為0.35公斤。",天下雜誌股份有限公司
1502103002,成大通關58度特級高粱酒,"4kg CO2e/ 每瓶600ml58度特級高粱酒",成大酒廠股份有限公司
1309405001,"Yacht 70W LED路燈","650kg CO2e/ 每盞Yacht 70W LED路燈",堤維西交通工業股份有限公司
1406202002,綠森林女防水透濕外套,"17kg CO2e/ 一件(388克)",歐都納股份有限公司
1404802002,"Paper Star影印紙","3.4kg CO2e/ A4,80g(210mm x 297mm)每包500張",中華紙漿股份有限公司
1404802003,"Paper Star影印紙","5kg CO2e/ B4,80g(257mm x 364mm)每包500張",中華紙漿股份有限公司
1404802004,"Paper Star影印紙","6kg CO2e/ A3,70g(297mm x 420mm)每包500張",中華紙漿股份有限公司
1404802005,"Paper Star影印紙","4.5kg CO2e/ B4,70g (257mm x 364mm)每包500張",中華紙漿股份有限公司
1404802001,"Paper Star影印紙","6.5kg CO2e/ A3,80g(297mm x 420mm)每包500張",中華紙漿股份有限公司
1404802006,"Paper Star影印紙","2.8kg CO2e/ A4,70g(210mm x 297mm)每包500張",中華紙漿股份有限公司
1402202008,麥香奶茶TP250ml,"110g CO2e/ 1包(250ml)",統一企業股份有限公司
1402202009,麥香奶茶TP300ml,"130g CO2e/ 1包(300ml)",統一企業股份有限公司
1402202010,麥香奶茶TP375ml,"160g CO2e/ 1包(375ml)",統一企業股份有限公司
1402202011,麥香紅茶TP250ml,"95g CO2e/ 1包(250ml)",統一企業股份有限公司
1402202012,麥香紅茶TP300ml,"110g CO2e/ 1包(300ml)",統一企業股份有限公司
1402202013,麥香紅茶TP375ml,"130g CO2e/ 1包(375ml)",統一企業股份有限公司
1402202014,麥香綠茶TP250ml,"90g CO2e/ 1包(250ml)",統一企業股份有限公司
1402202015,麥香綠茶TP300ml,"100g CO2e/ 1包(300ml)",統一企業股份有限公司
1402202006,"生活泡沫綠茶 500ml","130g CO2e/ 1包生活泡沫茶飲(鋁箔包)",三皇生物科技股份有限公司
1402202005,"生活泡沫綠茶 300ml","80g CO2e/ 1包生活泡沫茶飲(鋁箔包)",三皇生物科技股份有限公司
1402202004,"生活泡沫綠茶 250ml","70g CO2e/ 1包生活泡沫茶飲(鋁箔包)",三皇生物科技股份有限公司
1402202003,"生活泡沫紅茶 500ml","130g CO2e/ 1包生活泡沫茶飲(鋁箔包)",三皇生物科技股份有限公司
1402202002,"生活泡沫紅茶 300ml","80g CO2e/ 1包生活泡沫茶飲(鋁箔包)",三皇生物科技股份有限公司
1402202001,"生活泡沫紅茶 250ml","65g CO2e/ 1包生活泡沫茶飲(鋁箔包)",三皇生物科技股份有限公司
1402202007,"生活泡沫奶茶 300ml","140g CO2e/ 1包生活泡沫茶飲(鋁箔包)",三皇生物科技股份有限公司
1202202001,黑松沙士,"280g CO2e/ 每瓶",黑松股份有限公司
1209403001,組合櫥櫃,"75kg CO2e/ 宣告單位為一單元組合櫥櫃（包括其在銷售階段之包裝物)",家王企業股份有限公司
1201902005,"統一麵 肉燥風味","150g CO2e/ 淨重：85公克/包",統一企業股份有限公司
1208471001,"整合式電腦 ","320kg CO2e/ 1台",微星科技股份有限公司
1200407001,黃金視好蛋,"200g CO2e/ 1粒幸福好蛋",勤億蛋品科技股份有限公司
1201905001,大黑松小倆口淨重45.6公克之土鳳梨酥,"160g CO2e/ 單個土鳳梨酥含包裝淨重45.6g",邱氏鼎食品企業股份有限公司
1202201001,"泰山TWIST WATER包裝水(包裝飲用水)","130g CO2e/ PET瓶裝600ml",泰山企業股份有限公司
1208712001,自行車,"140kg CO2e/ 一輛自行車(輪徑 26”*車架尺寸 18”)",美利達工業股份有限公司
1204818002,五月花抽取式衛生紙,"500g CO2e/ 每包(130張,200mm*190mm,2層)",永豐餘消費品實業股份有限公司
1204818001,五月花抽取式衛生紙,"650g CO2e/ 每包（110抽，200mm *190mm；3層）",永豐餘消費品實業股份有限公司
1203919002,PVC膠帶,"700g CO2e/ 一捲0.17mm*48mm*12M PVC膠帶",地球綜合工業股份有限公司
1203919001,OPP膠帶,"400g CO2e/ 一捲0.04mm*48mm*35M OPP膠帶",地球綜合工業股份有限公司
1202202002,統一陽光黃金豆豆漿,"190g CO2e/ 1盒(紙盒,450ml)",統一企業股份有限公司
1201905002,瑞穗鮮乳土司,"750g CO2e/ 1包(382g)",統一企業股份有限公司
1202201002,黑松茶花綠茶,"280g CO2e/ 一瓶(580ml)",黑松股份有限公司
1202106003,懷舊排骨菜飯便當(台北),"1.4kg CO2e/ 每盒(懷舊排骨菜飯便當、500±20公克、無須加熱或冷藏)",交通部臺灣鐵路管理局餐旅服務總所
1202106002,八角排骨便當(台北),"1.5kg CO2e/ 每盒(八角排骨便當、475±20公克、無須加熱或冷藏)",交通部臺灣鐵路管理局餐旅服務總所
1202106001,傳統排骨便當(台北),"1.3kg CO2e/ 每盒(傳統排骨便當、480±20公克、無須加熱或冷藏)",交通部臺灣鐵路管理局餐旅服務總所
1206301001,大愛感恩科技灰色毛毯,"12kg CO2e/ 每條180 cm x 230 cm",大愛感恩科技股份有限公司
1204202001,環保手提袋,"5kg CO2e/ 每件(26.5 cm x 13 cm x 39 cm)",世堡紡織股份有限公司
1202106005,石安牧場溫泉蛋(16入),"6kg CO2e/ 1包(16入)",上品王食品股份有限公司
1202106004,柔滑布丁,"340g CO2e/ 1盒/130g/pp",上品王食品股份有限公司
1206901001,"石質地磚 ","4.5kg CO2e/ 一片 長度500mmx寬度500mm;重量5.3kg)",宏洲窯業股份有限公司
